transaction_id,amount,merchant_category,transaction_time,hour,day_of_week,user_country,merchant_country,device_id,ip_address,payment_method,card_present,is_fraud
d34ea690-767e-4a4b-bdca-a0d5cfdd7c35,11.59,grocery,2025-03-05T22:15:25.160049,22,2,US,US,644ec4d1-5cd4-42e0-94e8-76613c745853,198.82.255.31,credit_card,True,False
75169ca3-93a9-4559-ab6a-13e4f8ff4707,1.39,gas_station,2025-04-22T14:24:08.401986,14,1,UK,US,33105645-cb86-494c-94c2-f1687562d7cd,58.130.9.225,debit_card,True,False
d8b80375-49a9-4561-9418-b59e56af083b,32.63,adult_entertainment,2025-06-26T19:34:14.150180,19,3,US,CN,f4fae031-fa51-4590-8c33-0c7d6d63d401,66.43.181.43,credit_card,True,True
02c845af-c2d3-4441-ba21-549a0398092a,4.64,grocery,2025-02-17T07:12:41.704595,7,0,US,US,1af1d283-bf77-4a3c-8c0d-e6eec7625207,74.191.90.60,credit_card,False,False
63adcb35-6d96-4017-b8f6-c01b3af2f001,34.6,utility,2025-01-12T11:04:11.402087,11,6,FR,US,ea5a071b-657c-4dcf-afac-0bc96bc57b30,69.136.33.88,paypal,True,False
89fa9906-df6f-4aed-aef5-bade943a72d4,24.36,utility,2024-10-16T20:04:05.709408,20,2,US,US,59bfd37f-96a4-4ad7-bf21-fd25892256ab,35.107.78.159,credit_card,True,False
856b5087-a0a6-4fe1-911c-9f3686f20fec,3.36,cash_advance,2024-11-16T08:43:38.953973,8,5,DE,US,fecb4225-5edc-4e1d-885f-d155d7a7c82d,194.141.25.227,credit_card,False,False
ca039fb8-eb6b-4044-aae2-ff4f7dffb098,70.43,utility,2024-11-03T01:31:10.288606,1,6,US,US,dc4bae4c-cfd3-4e04-8d07-c21899a95d0f,73.249.157.34,credit_card,False,False
86c9b6ce-8eb4-4919-a01f-3706e962ff8c,27.94,cryptocurrency,2024-11-05T01:12:17.284908,1,1,US,US,1cfdacaa-e254-4c68-bc96-82efa93eb22c,148.165.17.73,credit_card,True,False
f4f9fd20-8a80-4b33-a27a-794408e24b08,282.78,grocery,2025-07-01T15:11:19.271810,15,1,US,RO,3f8121e2-540e-4cae-9084-177ae5b906aa,149.200.163.97,debit_card,True,False
8f5a6511-e3a2-4766-ac41-939734b373e5,42.78,gas_station,2025-02-05T20:53:39.883242,20,2,US,CN,5817d693-f3f5-4ad4-9c62-5ad3bb6df513,213.151.24.30,credit_card,False,False
d4d6dcde-19a7-4733-894e-8c479bd14bac,2.19,utility,2024-08-16T13:26:04.614090,13,4,UK,CN,759212f1-5944-4198-9299-06d8071dffb4,93.25.234.189,debit_card,False,False
98a44b07-14c9-48dd-b7d5-26a8d47ebc31,12.23,utility,2025-01-14T08:54:08.638193,8,1,US,RO,01b0e711-993d-478e-b171-5d4ded313ac1,67.54.246.115,credit_card,False,False
2742db48-0f10-494a-b9d3-b0b0f39b10e1,3.7,grocery,2025-01-21T06:09:46.138072,6,1,FR,US,50644c5c-ea95-45ed-9cd7-1eebcb906e89,66.83.60.247,debit_card,False,False
ffa1c3c8-53df-4da9-b43e-ac96e0c71581,368.68,utility,2025-05-18T22:10:50.653646,22,6,DE,RO,e6c024f2-f2da-4cf6-8006-80af96a3dac7,175.175.20.172,credit_card,False,False
836f35e2-9c3c-4cc8-837b-0ab3f4366b9e,7.63,online_gaming,2024-12-09T21:08:32.692001,21,0,US,US,dc94ae01-c5af-4bf3-90ff-3c2ae70b61f6,94.7.197.255,paypal,False,False
61ad560f-4dd1-422f-bb71-3ffc1c4e11df,0.67,cash_advance,2025-02-26T02:08:31.512215,2,2,US,US,3c977bc2-b087-4318-aa77-854c03c22042,27.30.208.182,paypal,True,False
f104aa01-f1b3-4f22-8691-984ed27d9698,34.59,gas_station,2024-09-22T05:02:56.928881,5,6,US,US,3c54f5f1-7659-49c3-b20d-0f4bbaa7d886,166.2.223.133,credit_card,False,False
efbf6936-de6c-4403-97d8-08fe52e3e174,57.53,online_gaming,2025-03-10T03:30:51.227318,3,0,FR,US,bf6f0f55-bcaa-4b5b-bd48-504a0194a0cd,69.159.240.226,credit_card,False,True
815b22bb-dd61-4982-9135-6b060ea49bf0,18.25,grocery,2025-02-01T14:51:51.188752,14,5,US,CN,b94a5d06-1a08-4b2d-b42c-4da2e91fa755,186.186.218.236,debit_card,False,False
a0cdc8c9-33ce-4097-b637-463ea3d1b5de,67.48,gas_station,2024-08-30T03:08:32.872766,3,4,US,US,024af5af-4cc7-444f-911f-79d8d8a630c2,108.87.81.84,credit_card,False,False
d30396b4-a90c-4a7f-b069-23e3dd34ae68,86.21,grocery,2025-07-11T01:08:13.747621,1,4,US,US,1d65d9b2-a6b7-4a71-b9a3-9f065db4ccd8,97.64.53.103,credit_card,False,False
48cbd9d4-484e-4718-b6f0-a64804199d9f,14.95,pharmacy,2025-02-27T18:33:53.793590,18,3,US,US,2d6dfacf-04bc-46b9-be1a-6c992cf87dd0,134.41.174.150,credit_card,False,False
91948b58-bfd8-43a1-8d0d-bd40d17f41ba,86.41,online_gaming,2024-08-30T17:16:21.387019,17,4,DE,US,867c3d5e-a74f-4d02-8edb-0c9d30237a51,33.254.35.83,credit_card,True,True
daf9a7a5-29c9-437f-afb8-22fe6e43882c,27.8,gas_station,2025-02-27T08:29:48.403159,8,3,CA,US,dcbcc0a0-6a31-405d-ba49-835d38944f9e,100.238.26.59,credit_card,True,False
7be73730-ea30-432d-a0f1-37bc5f3583c5,47.34,grocery,2025-03-03T06:40:26.664926,6,0,US,US,076986f8-6a11-4005-a4c5-8b5e0d03572d,96.125.116.25,crypto,False,False
0a6b9e3e-541f-4cf7-9802-edc2fe35bfc1,127.84,pharmacy,2025-06-10T03:53:48.820917,3,1,US,US,6eaca9f7-0fd5-4534-81ba-ad5be22a8ba9,13.208.231.175,paypal,True,False
4a34182f-ea4e-48ab-aae4-fad3e6f5d697,56.01,grocery,2024-09-27T06:18:00.491458,6,4,US,RU,2bd571fb-39ca-4f8d-b6b0-29ead87392d8,92.224.8.253,paypal,True,False
f7cf045b-cfff-4c4c-9eb5-949a54aaf37b,32.1,online_gaming,2025-05-21T16:30:04.412110,16,2,US,CN,52572f4c-1a22-4527-a708-33ed76c8d65b,182.241.232.188,paypal,False,True
6b170aa2-bdcd-4e60-9612-62c677818239,28.24,gas_station,2024-09-05T18:28:19.057662,18,3,US,US,549d9384-0a26-41fa-a654-2a13c976479a,181.167.242.213,credit_card,False,False
4810030a-6017-4353-a3f6-14c1acf791fb,93.44,gas_station,2024-12-26T04:06:05.372428,4,3,US,US,7fdd8693-95a2-4a0c-bb36-42ebd7d721be,192.184.72.70,credit_card,True,False
3dfca419-4e22-4313-aa57-95d9c674192e,34.45,utility,2025-01-28T02:42:21.867920,2,1,DE,US,6512527e-1947-4a3b-b8a4-9e9a5de16bab,21.36.226.247,credit_card,False,True
1e7eca9b-a7fa-464d-98fe-dddd81219280,263.13,cryptocurrency,2025-02-07T09:23:26.352230,9,4,UK,US,1024e1eb-e2d9-42eb-8d1b-4b15e618ea0a,6.223.166.92,debit_card,True,True
6f2dd519-a192-490a-99a9-ccdaec48fa2c,20.53,grocery,2025-01-25T16:43:09.199256,16,5,US,US,2eb88c38-7a36-4ee3-a2ac-424dcbf1dff3,87.126.178.140,debit_card,True,False
9393c91d-c838-40ba-9b28-b1373a1f1045,2.21,utility,2025-05-29T22:20:28.596976,22,3,UK,US,e423193e-e523-431c-a787-b1dd7fbe3a08,169.90.98.135,debit_card,False,False
b5b53c1b-35ff-4819-af72-d764666bdd87,1.3,gas_station,2024-09-12T10:44:31.229256,10,3,US,CN,4ba043ff-f92f-49e1-b9d4-0b010027915f,51.127.34.151,credit_card,False,False
9c00c4c4-aed9-48a2-ac25-bb5bb4987ce6,6.0,utility,2025-04-04T02:42:52.743492,2,4,US,US,13347868-c1bb-461f-a0bf-9c4a15850732,181.22.56.136,credit_card,False,False
1d5d81b9-cf43-43fa-b2e1-e01119a5151a,67.57,online_gaming,2025-02-20T08:10:43.565912,8,3,US,US,5086d1d2-2ec2-4981-83f0-b54b5f2b05b2,77.64.168.215,debit_card,False,True
b9d94eff-72a6-40ed-b65a-45e00362477e,16.8,gas_station,2024-11-06T13:22:55.881995,13,2,US,US,cf1ff1c4-b703-4e21-a2de-5e7df6091daf,223.202.48.110,paypal,False,False
9be4fa76-4de8-490e-9de8-706e73c6caa8,11.73,gas_station,2025-01-31T15:16:09.018268,15,4,US,US,c848f4f7-f505-4ec1-8dc2-2a8dc451a495,144.130.252.190,credit_card,False,False
c854dd63-da62-4efe-8885-570d6d69ee05,25.45,utility,2025-07-11T19:29:05.719587,19,4,DE,NG,3acdf498-b64b-4d0c-9b96-931822051acd,65.21.187.129,debit_card,False,False
c490bbcb-db5e-425b-a47f-90ef8b60360e,434.83,online_gaming,2024-12-30T03:50:16.820676,3,0,DE,US,ce4f8fab-1064-4629-a742-55a19334eb25,180.10.248.206,paypal,False,True
4065abaf-a0f6-4010-a2bc-d5f75bfbf027,2.22,utility,2024-12-14T12:06:18.691046,12,5,US,RU,8698c39c-3fce-45a1-8f03-acc9fc34fb4a,65.54.91.149,crypto,False,True
4c58c05e-460e-4dfe-84b5-1dc97822b8b9,11.73,pharmacy,2025-03-21T23:16:23.901849,23,4,FR,RU,e97c2aca-794f-4adb-8e01-2b042df8c348,9.110.167.24,credit_card,False,True
223ed6bd-bc28-4d5e-8eb4-83978d686207,17.52,pharmacy,2025-04-01T15:34:30.424413,15,1,FR,US,8cce47cd-ff92-4299-bc7f-bd8046567737,93.50.224.132,credit_card,True,False
5637baed-e5b5-42f3-8931-45760173eb28,24.38,grocery,2024-08-25T13:14:21.684389,13,6,US,US,1c533463-a3de-4b6a-aa1b-69409efaeca0,76.108.18.10,debit_card,True,False
2db16210-cabb-4631-a5ab-3c459ca8d196,117.44,gas_station,2024-09-04T20:47:08.907611,20,2,US,US,e8ed3c93-3170-4a8e-bc7c-3128c22c4c4f,80.170.244.126,credit_card,False,False
5a556456-7270-4e81-a892-1575a18ba390,4.61,adult_entertainment,2024-09-08T21:02:00.284214,21,6,FR,US,bcd54097-1fff-49e7-bf98-d58167536c21,218.140.179.202,credit_card,True,True
578ac79e-3f46-440f-b2a4-f81517e41a4c,3.1,grocery,2024-12-14T14:43:20.687753,14,5,US,US,fb9d85d7-d0c7-47be-ad91-95a97b073350,35.93.244.248,paypal,False,False
67ed0c76-2687-4e66-b168-fe9e5ea04695,64.2,grocery,2025-07-20T00:24:37.586008,0,6,FR,RO,158c4f21-dab9-4d7f-8031-c4fa1bed0267,194.108.33.37,debit_card,False,True
ce9a90af-d0fa-4355-9a63-0e0abded1b62,10.78,gas_station,2025-06-01T12:52:16.998685,12,6,US,US,871db661-36f1-433c-abba-a129f15d33a3,196.238.104.33,paypal,False,False
